Postive words,Negative words
advisable,sad
adventures,gloomy
affable,death
affection,died
spread,dying
joy,sadness
happiness,crying
happy,cri
laugh,cry
laughter,hatred
smiling,darkness
smile,hate
love,dark
lovin,leaving
caring,left you
care,end
faith,ending
pray,sorrow
praying,pain
prayed,suffering
positive,mess
light,eliminate
ark,lost
find,losing
charming,scared
best,explicit
sweet,bitter
perfect,imperfect
musical,noise
clam,noisy
babi,death
feeling,insan
tryin,panic
talkin,insecur
heart,distract
life,grave
rhyme,freak
heaven,ill
mother,reign
kiss,hell
wonder,drown
rejoice,evil
great,silenc
trust,break
bless,nasty
god,rout
chang,broken
romanc,bad
great,goodnight
strength,beggin
charming,silent
charm,away
friend,confront
free,enemy
shine,bleed
real,fire
lucki,destruct
hold,betray
like,tragic
danc,loneli
grow,unreal
legend,drinkin
dream,prison
born,cruel
